,0,1,2,3,4,5,6,7,8
45,FUS,BLVRA,RPUSD2,FCRL2,CDC42EP3,TALDO1,TBCB,PRDX3,C2orf88
46,DENND2D,PLBD1,SCAPER,C15orf57,CD160,H2AFY,PSMC4,SUMO3,CLEC1B
47,SRSF3,CCL3,CAMK2G,GUCD1,BTN3A2,LINC00936,MALAT1,CAT,AC147651.3
48,GIMAP2,S100A12,CRIP2,CD82,MFSD10,UBE2L6,RBM39,NCF2,GAS2L1
49,TCEAL8,STX11,C16orf58,STK17A,PCSK7,C20orf27,SRSF3,TNFAIP2,TSC22D1
50,HNRNPH3,H2AFY,RIOK2,RASGRP2,GADD45B,CAP1,CD160,YWHAE,PLA2G12A
51,ICAM2,HLA-DMA,FKBP5,KIAA0040,CDC37,CAPZA2,SELL,NPC2,MFSD1
52,ICOS,HLA-DPA1,CITED4,RP5-887A10.1,GIMAP5,MARCKSL1,BTN3A2,PPT1,NT5C3A
53,CCT7,IL8,NEMF,ODC1,TMEM50A,ATP6V1F,RALY,DNAJC15,TMEM50A
54,NOP58,HLA-DPB1,LRBA,ZNF92,ACAP1,FPR1,ITGB7,MBOAT7,CLDN5
55,ITGB7,JUND,POLR2I,TNFRSF13C,RAB9A,CAPZB,STK17A,SDHB,HGD
56,THYN1,ATP5D,KIAA1430,ARL4A,JAKMIP1,UQCRC1,SCP2,OAZ1,SCGB1C1
57,RIC3,SAT2,GALT,BACE2,PILRB,RXRA,KLRC1,SAT1,C6orf25
58,WTAP,IL1B,PRAF2,CAMK1D,DENND2D,IFI35,DEF6,FTL,MAP3K7CL
59,C14orf166,FGL2,RP11-349A22.5,CDC40,GPR56,VAMP5,NDUFB8-1,TALDO1,FTH1
60,IL23A,DYNLT1,NARG2,GGA2,PLEKHF1,ZYX,RAMP1,ATP6V1F,TMEM91
61,TTC3,FCGR1A,LUC7L3,P2RY10,CAP1,PSMA7,CD47,BLOC1S1,GSN
62,ATP6V0E2,ARRB2,KLHL24,PHACTR1,ORAI1,S100A8,RAB7A,FKBP3,VDAC3
63,PPP6C,TNFAIP2,TTPAL,RP11-428G5.5,HDAC1,DYNLT1,TMBIM6,TMEM208,VAPA
64,AKTIP,G0S2,CBX5,EIF1AY,HNRNPM,BTK,CAPZB,LYPLA1,RBBP6
65,GPR171,TMEM219,DUS3L,SRSF5,GPR171,CASP4,ACP1,ALKBH7,STX11
66,LSM14A,C5AR1,UBIAD1,MALAT1,PSMA7,CNPY3,CCDC12,BTK,RP11-879F14.2
67,HDAC1,FCGR2A,PSMG2,CHI3L2,MMADHC,SERPINB1,LMAN2,S100A6,ITGB3
68,C4orf3,TMEM205,DNMT3A,ITSN2,SRSF3,GPX1,KLRG1,C17orf62,FAXDC2
69,ZAP70,TNFSF10,MRPS33,BBX,FAM173A,NAPRT1,KLRB1,LGALS3,ESAM
70,SMDT1,C20orf27,NMNAT3,MT-CO2,C5orf56,PRDX1,RBM3,SERPINB1,ALOX12
71,DEF6,PSMA7,YPEL2,ADD1,PRNP,LAMTOR5,CYB5B,TMEM14C,HIST1H2BJ
72,SCGB3A1,OSCAR,CGRRF1,PAX5,RCN2,SDHB,MT-CO1,HAVCR2,DMTN
73,UBAC2,UBE2L6,FBXO21,RIC3,RNF125,RNF181,ARL6IP5,MPC2,UBAC2
74,ATF7IP2,RILPL2,ACOT13,PCDH9,ITGB7,IFIT1,DENND2D,CAPZA2,SENCR
75,SLFN5,RETN,RGS14,LUC7L3,WTAP,MPP1,KIR3DL2,DYNLL1,FHL1
76,ZNF32,CASP4,ZNF75A,CEPT1,RPS3A,CSNK2B,MAF1,UBE2L6,SLC40A1
77,FNTA,SF3B5,FHL1,NEMF,CHMP4A,HLA-DMA,SH2D1A,TBCB,XPNPEP1
78,KARS,ZYX,FXN,MT-CO1,PRSS23,DYNLL1,LAT2,LUC7L3,TMEM219
79,ACP1,NAPRT1,MINA,SIAH2,CPNE2,PPT1,LIMD2,MLEC,PACSIN2
80,SF3B1,BLOC1S1,ZFYVE28,MACROD2,PSMB6,HLA-DQA1,ARHGDIA,IGFBP7,PVALB
81,GBP1,RNF7,SETD1B,KCNG1,PSMB8,LGALS2,S100B,SMIM12,ARHGAP6
82,VPS28,GRB2,MED9,ACADM,MOB2,APOBEC3B,HNRNPM,MT-ND5,PDZK1IP1
83,XXbac-BPG299F13.17,UBE2D1,NUDT16L1,PAWR,PTPN7,TREX1,RCN2,ZYX,CTTN
84,ALKBH7,CRTAP,RP5-1073O3.7,AIM2,CAPN12,ATP5C1,SRP9,RNF7,FSTL1
85,TMBIM6,HLA-DMB,RABL2B,EIF3D,SPON2,RILPL2,SNAPIN,C12orf45,C19orf33
86,PRNP,DYNLL1,SAMD12,PHF14,VDAC3,CD79B,TIGIT,ABI3,ANKRD9
87,C14orf1,RNF181,PLD6,FAM96A,RPS19BP1,CAT,SNRPB,POLR2E,B2M
88,GGNBP2,ZNF467,AKTIP,SNX10,HSPB11,RAB7A,SF3B5,BLNK,FTL
89,MRP63,VAMP5,TBCK,RABEP2,TOR1A,LSM6,LGALS1,ISOC2,GMPR
90,PPP2CA,TNFRSF1B,PDZD4,RP11-164H13.1,TAF12,PSMB8,TMBIM4-1,CSNK2B,TMEM140
91,RGS1,UQCRC1,IL23A,TAF1D,RCHY1,RELT,JTB,PLBD1,AGPAT1
92,RP11-589C21.6,PPT1,TRIM14,NT5C3A,ARPC4,SNX10,CARHSP1,NCKAP1L,LDLRAP1
93,CCND2,TREX1,LRRC8C,AL928768.3,RGS14,NCKAP1L,PTPN7,STK32C,COTL1
94,RP11-18H21.1,NDUFB10,IP6K1,RELB,MAEA,OSCAR,RNF213,PFDN2,DIAPH1
95,C16orf13,OAS1,PCNX,MFF,ATP6V0E1,ICAM2,CSNK2B,TAF10,CAPZA2
96,EMB,SMARCD3,MPP6,PNRC1,SHARPIN,SH3GLB1,GNPTAB,SNX5,SPOCD1
97,SH2D1A,CSNK2B,RP11-468E2.4,MRPS18A,SMARCA4,CORO1B,FERMT3,BABAM1,SEC14L5
98,EIF5B,IL17RA,ZMAT3,RBBP6,GNPTAB,PSMB6,SDHAF2,RBM39,LCN2
99,MTERFD2,LTB4R,C12orf45,CHD2,NPRL2,TBCB,PLEKHJ1,IRF8,GATA2
100,RNF113A,IFI35,TRAPPC12-AS1,GRAP,HENMT1,RER1,FAM96B,TMEM205,ATP9A
101,TMED4,RAB34,SLC2A13,MARCKSL1,CARHSP1,SMAP2,MRPS12,MRPL21,AC137932.6
102,NDUFB8-1,MBOAT7,GRAP,CPNE5,ITSN2,RNF213,VDAC3,SAMD9L,SCN1B
103,VAPA,TXNDC17,ZNF682,SLC50A1,BTN3A1,LMAN2,PSMA7,FERMT3,SMIM5
104,ATP5C1,FCGR1B,POMT1,NFATC1,POLR2K,TXNDC17,DERL1,FGL2,LGALSL
105,CMTM7,NDUFA2,MALT1,PWP1,ARID4A,CNIH4,AATF,CRTAP,ENKUR
106,SH3KBP1,PARL,RP11-314N13.3,TNFRSF17,IL16,ARHGDIA,MVD,FKBP5,PRKAR2B
107,THOC7,TMEM14C,ANKS1B,SMDT1,FAM63B,MT-ND5,HENMT1,ZC3H15,GFI1B
108,DPY30,IGFBP7,NNT-AS1,NEIL1,LPIN1,ATP6V0E1,CRELD2,PITHD1,CTNNAL1
109,BOLA3,SRA1,OBSCN,METTL21A,SSBP1,ARAP1,SH3GLB1,EIF2B1,SPHK1
110,AP3M2,PTAFR,TOP1MT,SYVN1,TMEM242,YWHAE,AHSA1,CTNNBIP1,CAPZB
111,CSNK1A1,JTB,CTD-2015H6.3,MAP3K8,SMCHD1,G0S2,SNX17,SNRPB,MBNL1-AS1
112,NARS,RXRA,RP11-400F19.6,SKAP2,STUB1,CCDC12,GADD45B,MARCKSL1,RPS19BP1
113,LIMD2,NRGN,SH3BGRL2,SMAP2,SLBP,VAMP8,PLEKHA1,ARRB2,CST3
114,PIK3R1,GSN,AC005614.3,FAM212A,GPKOW,SRA1,CHMP4A,NAPRT1,C4orf3
115,EWSR1,MYO9B,THEM4,TCF12,TARSL2,SNX5,PPIE,GADD45B,LINC01003
116,ZC3H15,SNX10,RP5-827C21.4,PNPLA8,BAG5,ATP5H,RPS19BP1,FCN1,ERV3-1
117,BEX4,SDHB,CCDC3,TCEA2,MLLT6,TNFAIP2,LUC7L3,TRAPPC3,ZYX
118,RBM39,MPP1,RBL1-1,ACBD3,SRP9,RNF7,MRPL51,PPP1R14A,RABIF
119,THEM4,SGK1,CCDC163P,ZCCHC10,CLEC2B,PCMT1,SPPL2A,ITGB7,PRKCD
120,CWC15,PPIF,TGFBRAP1,IRF9,NDUFB8-1,NDUFA2,UBE2L6,GUSB,PRKCB
121,CHD2,CTNNBIP1,PGM2L1,ZCCHC11,DCAF5,TMBIM4-1,C17orf62,RPL7L1,CCNG1
122,XPOT,TPD52L2,F5,HDAC9,DIDO1,PLBD1,RPN2,MED28,BTK
123,PSMD14,TMEM91,RHBDD3,MYCBP2,SCP2,RASGRP2,CLEC2B,PAFAH1B1,FAM212B-AS1
124,GALT,PLA2G7,RP13-270P17.1,MAF1,DEXI,EPN1,DYNLL1,SNW1,PEAR1
125,HNRNPM,ATP5H,SCAI,CCDC12,CPSF3L,MS4A6A,RMDN3,FAM173A,PARD3
126,PITHD1,ALKBH7,EOGT,UIMC1,SLA,ARPC4,LBR,CCT7,RP11-185E8.1
127,NUDT16L1,CD93,FN3KRP,ICOSLG,AHSA1,POLR3K,PILRB,IFI44,CABP5
128,SNHG12,QSOX1,C6orf25,CCDC91,DERL1,GNS,ICAM2,SCP2,NPPA-AS1
129,LRCH4,AP003733.1,CTB-113I20.2,BNIP2,FUS,GUSB,MAP3K8,LINC00936,HRASLS
130,MAGEH1,VPS28,MNAT1,SMCHD1,SMIM12,ATP5D,KIR2DL3,ILF3,SERPINE1
131,RRS1,CYP27A1,DNAJC27,TTC14,TMEM222,OTUB1,RER1,LAT2,RP11-359I18.5
132,DIMT1,RBM3,RP11-378J18.3,HOOK2,MPC2,CMTM7,GIMAP5,C9orf142,SYTL4
133,C16orf80,PRKACA,FCGBP,ATP10D,STX4,MT-CO2,SARS,IFT20,C15orf26
134,UBIAD1,TMEM208,ACTR6,ECHDC1,CWC27,GRB2,ARL2BP,UQCRC1,VIL1
135,MLLT10,GALK1,AC093323.3,MIS18BP1,ATP6V0E2,MYO9B,CCDC115,NCOA4,SAMD14
136,NR3C1,CXCL2,EID2,TMEM80,XCL1,MRPL21,NT5C,RRAGC,TDRP
137,PSMG2,EMILIN2,LAMP3,SAMD9L,SYTL2,ALDH2,POLR2E,ACADVL,AC007879.7
138,EIF1AY,SMAP2,LZTS2,HIST1H2AC,ISOC1,PRDX3,F2R,RRS1,SEPT4
139,HERPUD2,CD163,URB2,PLRG1,RNF113A,HLA-DMB,PCMT1,GRB2,ASAP2
140,SLC40A1,PRKCD,CRTC1,PPIG,PDCD1,POLR2E,HDAC1,C14orf166,RSPH9
141,CCDC91,MID1IP1,PBLD,MZT1,LMAN2,RALY,HBA1,TOMM40,LINC00984
142,KIF5B,MT-CO2,ARVCF,LINC01013,P2RY10,IFIT2,CTBP2,RALY,hsa-mir-1199
143,DEXI,RGS18,ZNF587B,ZNF718,PCNX,PRKCB,PDZD11,SNX17,TNS1
144,ISCA2,APOBEC3B,MZT1,NEK8,CASC4,FERMT3,MTCH2,RBM3,NT5M
145,LPIN1,RER1,COL6A2,CXXC1,CDKN2A,PRKCD,PCNA,USP33,TGFB1I1
146,CD47,GMPR,URGCP,DENND5B,CD47,FAM32A,STUB1,COMMD4,PLA2G4C
147,CSRNP1,PARVB,EARS2,RP11-727F15.9,RBM4,MRPL51,TCP1,NT5C,RP11-142C4.6
148,ARL2BP,IFI44,SARDH,JAZF1,ALG5,C1QA,DIAPH1,RBPJ,C1orf198
149,API5,UBXN1,LINC00342,DNAJC10,S100A6,CTNNBL1,GSN,DNTTIP1,ACADVL
150,FKBP5,PRDX3,C16orf52,UTP6,STOML2,SMIM7,CAPN12,VDAC3,SH3BGRL2
151,NONO,DNAJC7,HOOK2,ZNF493,BZRAP1-AS1,NCOA4,OTUB1,CCDC22,EGFL7
152,PQBP1,YWHAE,SNTA1,KPNA1,NDUFB10,TMEM141,TMEM141,FAM96B,ARG2
153,RBM4,GBGT1,RPS6KL1,GNG3,ISY1,SNX17,RNF125,GLTP,AC092295.7
154,RCN2,ALDH1A1,DRAXIN,IDH1,USP19,ZNF106,ZBP1,TXNDC17,TBXA2R
155,PPIG,MFSD1,RP11-527L4.5,ANKRD54,FAM107B,TNNI2,IFI35,PCMT1,PLBD1
156,ADPRM,PFDN2,CAMK2N1,TMBIM4-1,THUMPD3,VPS28,TIMMDC1,TCEAL8,F11R
157,PITPNA-AS1,COLGALT1,RP11-432I5.1,PRKD2,ALKBH4,RAB2A,IFT20,TMEM55A,FAM212A
158,FKBP3,CORO1C,WDR91,ZNF397,TTC14,MTIF3,ACAT2,EIF3D,PRUNE
159,EAPP,IFIT2,C8orf44,ZNF75A,DNAJB14,CKS1B,VAMP8,MRP63,SUMO3
160,MRPS33,LAT2,U2SURP,ZBED5-AS1,ACD,BCL2A1,ATP5C1,PRKCD,ARHGAP18
161,MAF1,PQBP1,INTS2,MARCH6,DUS3L,LYPLA1,RNF187,SRSF3,RASGRP2
162,TAF1D,SKAP2,AP3M2,AC113189.5,GBP1,RBM3,YTHDF2,PMF1,PPP1R14A
163,SURF1,LAMTOR5,CTD-2368P22.1,ERV3-1,TSPAN15,ZNF593,PTGDS,SURF1,MADD
164,PAXIP1-AS1,ZNF106,RPH3A,C5orf15,XRRA1,NDUFA12,CIAPIN1,THOC7,TBC1D15
165,CCDC66,HBEGF,SPATA7,BLM,BOLA3,TLE4,EAPP,DDT,BNIP2
166,GLRX3,RARA,TTN-AS1,TCL1B,RER1,DRAM2,NUDT5,RNASEH2B,ACP1
167,CD82,SNCA,PBRM1,MRPL1,OAT,TMEM189,PDHB,SNRNP27,SIAH2
168,RFC1,FAM127A,DHX34,METTL8,BBS2,HDLBP,TMEM9B,C14orf1,UNC45A
169,ORAI1,CHN2,XRRA1,CKS1B,COPS4,CCDC124,MFSD10,S100A9,GRB2
170,NIT2,RASGRP4,CYP46A1,RGL2,MRPL43,TMEM9B,NCR1,LTV1,PKIG
171,RDH14,OAS3,ASB15,RP5-821D11.7,PHF14,UBXN1,TAF12,RAD23A,BZRAP1-AS1
172,TTC1,PSMB8,GJC3,PPP1R2,SLC25A12,PRDX4,ACADM,MFSD1,UIMC1
173,RPN2,KCNK6,AC073641.2,SNRPB,PPIL4,OAS3,NFU1,TIMM10B,ICAM2
174,ACAT2,ARAP1,NLGN2,ITPA,TMEM9B,SNX20,ATP6V0E1,ZNF593,TMEM9B
175,YTHDF2,C12orf10,RP11-554A11.8,SDCCAG8,DHX15,GYG1,ADD1,PSMB8,C17orf59
176,RAD23A,IFT20,RP13-143G15.4,RP11-421L21.3,RBM3,PFDN2,TINF2,MTCH2,BET1
177,PPA2,DNTTIP1,YEATS2-AS1,CCDC174,ITM2A,PPP2R3C,CCDC124,HDAC2,SNX9
178,TCP1,CLEC10A,YJEFN3,DDX1,RBM39,IGFBP7,ATXN10,STX16,SLBP
179,C12orf10,NKIRAS2,CTD-2506J14.1,SHOC2,POLR2I,DESI1,TMEM208,SPIB,N4BP2L1
180,CDC123,DRAM2,TP63,CAT,HMBOX1,MARCH2,STOML2,NAT9,HDAC5
181,PDIA3,TMEM55A,FAM83C-AS1,RP5-1028K7.2,ORMDL2,NUDT1,SNRNP35,RAB34,SPG20
182,ARL2,CD9,CHRM3,CTC-378H22.1,DPY30,TIMM17A,TMEM165,POLDIP2,CORO1C
183,IFI27,EIF2AK4,CCDC40,RP11-960L18.1,C3orf38,TMEM219,PPA2,MRPL51,CARHSP1
184,VPS26B,PLCB2,NKX3-1,RCE1,CCNG1,CORO1C,MOB2,SLC39A1,HDGF
185,PRDX1,PRDX1,RP1-102G20.5,TREML2,FOPNL,PLAGL2,PCSK7,LAMTOR5,VPS28
186,C21orf33,MPV17,MIR1-2,FAM107B,CDC123,ANAPC13,ABT1,HDDC3,TMEM55A
187,SPG20,MVB12A,RP11-302F12.10,MED30,C1orf50,C4orf3,IRF9,SRA1,PTGDR
188,CYB5B,PHACTR1,RP11-503E24.3,MRVI1-AS1,VPS13A,CCDC115,CDC37,NOC4L,DCAF8
189,SPSB2,DENND5A,RP11-535M15.1,7SK-2,CISD1,SMPDL3A,PSMB6,FCGR2A,FOPNL
190,GOLT1B,CDV3,CTD-2358C21.4,MPP6,COL6A2,PSMC4,NAA20,OTUB1,CRLS1
191,KIAA1430,IRF8,RP11-532F6.5,POLD2,TIMM22,DOK3,WHAMM,PDHB,CORO7
192,PTPN7,ATP6V0E1,CTD-2283N19.1,KCNQ1OT1,THEM4,SLC39A1,FAM107B,CTSS,FYB
193,ERI3,HDGF,RGPD8,NR2C1,WHAMM,ELOF1,HDAC2,POLD2,TBPL1
194,RP5-1073O3.7,FRAT1,CTD-2325A15.5,CHD7,STX18,RASGRP4,FNBP4,SF3B5,CD82
195,PRPF31,TNNI2,RP11-304L19.2,LINC00662,CD96,UBE2D1,ACAP1,NKIRAS2,SCP2
196,HPRT1,GNS,VIPR1,TASP1,FAM43A,SIVA1,ACADVL,SMDT1,MPC2
197,SDHAF2,FOSL2,MRPL1,CDC123,DIMT1,APH1B,CCT7,PACSIN2,POLR2E
198,SNW1,MAT2A,SREBF1,USP8,ANKHD1,PLCB2,KLF13,JKAMP,ARL6IP5
199,BBX,DOK3,AEBP1,LINC00494,FCGR3A,GLB1,MMADHC,POLR2I,RP11-885N19.6
200,DDB2,ZNF593,ATAD3C,RP11-219B4.7,PEX19,RFXANK,PITHD1,PRDX4,DCSTAMP
201,COPS4,NAT9,FBXL14,TBXA2R,RPN2,VPS25,MCM3,BEX4,KB-1460A1.3
202,UBXN1,NFIC,RP11-178G16.4,ANKAR,RP5-1028K7.2,MED28,CCND2,RFXANK,PRSS27
203,ARL16,BTK,ACVR2A,IDI1,VPS13C,ARL4A,ATP6V1F,CD72,CHST8
204,PCSK7,MT-ND5,TTC28,PLD6,ABI3,IRF8,ZNF276,ADSL,RGS6
205,SNX20,FCAR,SAMD4B,BCDIN3D,ECSIT,MAP3K8,GYG1,CLEC4C,RP11-355N15.1
206,SLBP,GAS2L1,RBM4,SCAPER,NUP54,CDV3,BEX4,PARL,RP11-879F14.1
207,WNK1,MRPL21,RP11-661P17.1,PACS1,RNF187,MIS18BP1,C19orf52,STX18,LEFTY1
208,MPHOSPH10,NCKAP1L,RP11-755B10.3,STAU1,TMEM87A,RETN,PPP2CA,NDUFA10,RP11-88H9.2
209,MAPK1IP1L,CSRNP1,CTB-31O20.9,LYPLA1,DEF6,IL1B,FKBP3,LSM6,AC012499.1
210,TCEAL4,MANBA,AC005224.2,RABL2A,PDHB,RAB1B,BTN3A1,KIF5B,SLC24A3
211,TMEM87A,TRIM8,RP11-274B21.8,TINF2,ADSL,SKAP2,RFC2,AATF,PDE6H
212,WIBG,NCOR2,RP11-46H11.12,RNF26,ELL,KLF11,ASB8,TMEM165,CREB3L1
213,SEC31A,GPR35,ITCH-AS1,EML6,ADAM10,SNAPIN,CSNK1A1,RILPL2,RP11-152L20.3
214,UBE2E1,IFIT1,RP11-147L13.8,PAICS,TNFRSF25,DIAPH1,RPUSD3,TIMMDC1,PF4V1
215,ATAD1,CHIC2,TMEM44,ZNF263,METTL3,ALKBH7,RAB8B,ATXN10,RTN2
216,MOCS2,CTD-2267D19.2,RHCE,ELP6,GIMAP2,MID1IP1,COMMD4,HMGXB4,PDGFA
217,FNBP4,SURF1,RP11-983P16.4,CAPN12,R3HDM2,SIK1,KIF5B,LYRM4,MEF2C-AS1
218,TDG,CCL2,AC022201.5,GIT2,R3HDM1,SGK1,PRR5L,GALK1,MYCT1
219,PRKD2,PMF1,GLB1L3,TMX2,RPL39L,VAPA,TM7SF3,PPP2R3C,RP11-672A2.6
220,DHX9,GLTP,RP11-488C13.5,TOP1MT,LINC00662,NDUFB10,RAB2A,VPS25,ELOVL7
221,LYRM2,DICER1,RP11-589C21.6,AEBP1,C14orf1,HAGH,TIMM10B,ZNF467,TRAPPC3L
222,BTN3A2,CMTM7,ZNF559,POLR3E,NFU1,TMEM208,MARCH5,GTF2B,DLK1
223,MRS2,LINC01003,PDIA5,HDAC5,ILF3,DNAJC15,MNAT1,MAF1,CTD-2184C24.2
224,LSM6,CDC42EP3,ADAL,HEMK1,WDR45,FAM127A,C1orf35,UTP6,GCKR
225,RNASEH2B,PICALM,UBE2K,ZNF45,RP11-70P17.1,C17orf62,ISY1,RPS19BP1,PTPRN
226,RBBP6,JARID2,SERAC1,RP11-430B1.2,F2R,SUMO3,PSMD14,TMEM242,MAP2
227,ANAPC13,MRPL51,RP11-398C13.6,LAMTOR5,ATXN1L,CSRP1,SSBP3,NUDT1,LTBP1
228,MLLT6,TAF6L,PIGL,NFU1,RP4-612B15.3,JUND,BNIP2,S100A4,RP11-830F9.5
229,SARS,ELL,OSBPL7,PDCD2L,BOLA1,DDT,MRPL42,CSNK1A1,MAP1A
230,SRPR,FERMT3,ZUFSP,KLHL24,C17orf59,IL17RA,NDUFA12,YTHDF2,TAL1
231,NUDT5,LRRK2,OMG,TSPAN33,SF3B1,SNW1,VTI1B,ACADM,CTD-2541M15.1
232,XRRA1,MTCH2,RP11-77H9.2,RP11-554J4.1,C9orf69,PAFAH1B1,ATP5SL,PRKACA,GLS2
233,ABT1,MLTK,ZNF425,NOL11,HNRNPH3,KARS,SNX5,NONO,BEND2
234,LRRC8C,PPBP,ACVR2B,TMEM87B,PSMD14,ASGR1,WDR55,NEMF,MEIS1
235,AHSA1,CAPZA2,TACR2,MED9,DOCK10,MTCH2,CCL4L1,RNF187,MEG3
236,CARS,CTNNB1,AC068580.6,AATF,ZC3H15,GID8,RP11-792A8.4,SKAP2,MT-CYB
237,PEX16,CEACAM4,RP11-178L8.7,ABHD17B,NUPL2,TRIM8,SUMO3,FAM120A,RP4-781K5.2
238,MRPL1,DESI1,PPT2-EGFL8,MED28,TLE4,APOBEC3G,EMG1,PSMC4,LNP1
239,NUDT1,DHRS4,KRTAP5-AS1,ATXN1L,PIK3R1,EMILIN2,GGNBP2,C20orf27,RP11-215G15.5
240,PRKACB,RELT,KCNH3,INTS12,CLPX,VTI1B,PPP1R8,RAB1B,CLIP2
241,GRPEL1,RP11-139H15.1,RP11-247A12.2,TSSC1,NXT2,CSRNP1,YWHAE,NUPL2,SDCBP2
242,PPIE,SIK1,PLIN5,EFCAB4A,PGM1,SNRPB,GLRX3,SGK1,RAB6B
243,LBR,TRAPPC3,DEXI,ACD,PRDX1,PSMG2,SH3KBP1,SMIM14,LY6G5B
244,POLD2,TRPM4,LTV1,FAM43A,TSSC1,PARL,HPRT1,PDIA3,GPR55
